Objeto	Coluna	PK	FK	FKReferenceSource	FKReferenceFake
[APP].[TIPO_SOLICITACAO_RECURSO]	CD_TIPO_SOLICITACAO_RECURSO	True	False	NULL	000000
[APP].[TIPO_STATUS_SOLICITACAO]	CD_TIPO_STATUS_SOLICITACAO	True	False	NULL	000000
[APP].[USUARIO_SOBRESCREVER]	CD_USUARIO_SOBRESCREVER	True	False	NULL	000000
[APP].[USUARIO_SOBRESCREVER]	CD_USUARIO	False	False	NULL	[dbo].[USUARIO].[CD_USUARIO]
[APP].[USUARIO_SOBRESCREVER]	CD_USUARIO_CRIACAO	False	False	NULL	000000
[ARTESP].[RELATORIO_TIPO_VEICULO]	CD_ARTESP_RELATORIO_TIPO_VEICULO	True	False	NULL	000000
[CLIMATEMPO].[CIDADE]	CD_CIDADE	True	False	NULL	000000
[CLIMATEMPO].[CIDADE]	CD_ESTADO	False	False	NULL	000000
[CLIMATEMPO].[CONDICAO]	CD_CONDICAO	True	False	NULL	000000
[CLIMATEMPO].[ESTADO]	CD_ESTADO	True	False	NULL	000000
[CLIMATEMPO].[PREVISAO]	CD_CIDADE	True	False	NULL	000000
[CLIMATEMPO].[PREVISAO]	CD_ESTADO	False	False	NULL	000000
[CLIMATEMPO].[PREVISAO]	CD_PREVISAO	False	False	NULL	000000
[CLIMATEMPO].[PREVISAO]	CD_VENTO_DIRECAO	False	False	NULL	000000
[CLIMATEMPO].[PREVISAO_MOMENTO]	CD_CIDADE	True	False	NULL	000000
[CLIMATEMPO].[PREVISAO_MOMENTO]	CD_CONDICAO	False	False	NULL	000000
[CLIMATEMPO].[PREVISAO_MOMENTO]	CD_ESTADO	False	False	NULL	000000
[CLIMATEMPO].[PREVISAO_MOMENTO]	CD_PREVISAO_MOMENTO	False	False	NULL	000000
[CLIMATEMPO].[PREVISAO_MOMENTO]	CD_VENTO_DIRECAO	False	False	NULL	000000
[CLIMATEMPO].[VENTO_DIRECAO]	CD_VENTO_DIRECAO	True	False	NULL	000000
[DANO].[ANEXO]	CD_DANO_ANEXO	True	False	NULL	000000
[DANO].[ANEXO]	CD_OCORRENCIA_DANO	False	False	NULL	000000
[DANO].[ANEXO]	CD_USUARIO_CRIACAO	False	False	NULL	000000
[DANO].[ANEXO_HISTORICO]	CD_DANO_ANEXO	False	False	NULL	000000
[DANO].[ANEXO_HISTORICO]	CD_OCORRENCIA_DANO	False	False	NULL	000000
[DANO].[ANEXO_HISTORICO]	CD_USUARIO_CRIACAO	False	False	NULL	000000
[DANO].[AREA]	CD_AREA	True	False	NULL	000000
[DANO].[AREA]	CD_CONCESSAO	False	False	NULL	[dbo].[CONCESSAO].[CD_CONCESSAO]
[DANO].[AREA]	CD_USUARIO_CRIACAO	False	False	NULL	000000
[DANO].[AREA_CUSTEIO]	CD_AREA_CUSTEIO	True	False	NULL	000000
[DANO].[AREA_CUSTEIO]	CD_AREA	False	False	NULL	000000
[DANO].[AREA_CUSTEIO]	CD_OCORRENCIA_DANO	False	False	NULL	000000
[DANO].[AREA_CUSTEIO]	CD_SERVICO	False	False	NULL	000000
[DANO].[AREA_CUSTEIO]	CD_UNIDADE	False	False	NULL	000000
[DANO].[AREA_CUSTEIO]	CD_USUARIO_CRIACAO	False	False	NULL	000000
[DANO].[AREA_ENCAMINHAMENTO]	CD_AREA_ENCAMINHAMENTO	True	False	NULL	000000
[DANO].[AREA_ENCAMINHAMENTO]	CD_AREA	False	False	NULL	000000
[DANO].[AREA_ENCAMINHAMENTO]	CD_OCORRENCIA_DANO	False	False	NULL	000000
[DANO].[AREA_ENCAMINHAMENTO]	CD_TIPO_ENVIO	False	False	NULL	000000
[DANO].[AREA_ENCAMINHAMENTO]	CD_USUARIO_CRIACAO	False	False	NULL	000000
[DANO].[AREA_USUARIO]	CD_AREA_USUARIO	True	False	NULL	000000
[DANO].[AREA_USUARIO]	CD_AREA	False	False	NULL	000000
[DANO].[AREA_USUARIO]	CD_USUARIO	False	False	NULL	[dbo].[USUARIO].[CD_USUARIO]
[DANO].[AREA_USUARIO]	CD_USUARIO_CRIACAO	False	False	NULL	000000
[DANO].[AREA_USUARIO_HISTORICO]	CD_AREA	False	False	NULL	000000
[DANO].[AREA_USUARIO_HISTORICO]	CD_AREA_USUARIO	False	False	NULL	000000
[DANO].[AREA_USUARIO_HISTORICO]	CD_USUARIO	False	False	NULL	[dbo].[USUARIO].[CD_USUARIO]
[DANO].[AREA_USUARIO_HISTORICO]	CD_USUARIO_CRIACAO	False	False	NULL	000000
[DANO].[CLASSIFICACAO]	CD_CLASSIFICACAO	True	False	NULL	000000
[DANO].[CLASSIFICACAO]	CD_USUARIO_CRIACAO	False	False	NULL	000000
[DANO].[OCORRENCIA_DANO]	CD_OCORRENCIA_DANO	True	False	NULL	000000
[DANO].[OCORRENCIA_DANO]	CD_CLASSIFICACAO	False	False	NULL	000000
[DANO].[OCORRENCIA_DANO]	CD_OCORRENCIA	False	False	NULL	[dbo].[OCORRENCIA].[CD_OCORRENCIA]
[DANO].[OCORRENCIA_DANO]	CD_STATUS_DANO	False	False	NULL	000000
[DANO].[OCORRENCIA_DANO]	CD_TIPO	False	False	NULL	000000
[DANO].[OCORRENCIA_DANO]	CD_USUARIO_CRIACAO	False	False	NULL	000000
[DANO].[STATUS]	CD_STATUS_DANO	True	False	NULL	000000
[DANO].[STATUS]	CD_USUARIO_CRIACAO	False	False	NULL	000000
[DANO].[TIPO]	CD_TIPO	True	False	NULL	000000
[DANO].[TIPO]	CD_USUARIO_CRIACAO	False	False	NULL	000000
[DANO].[TIPO_ENCAMINHAMENTO]	CD_TIPO_ENCAMINHAMENTO	True	False	NULL	000000
[DANO].[TIPO_ENCAMINHAMENTO]	CD_USUARIO_CRIACAO	False	False	NULL	000000
[DANO].[UNIDADE]	CD_UNIDADE	True	False	NULL	000000
[DANO].[UNIDADE]	CD_USUARIO_CRIACAO	False	False	NULL	000000
[dbo].[ACAO_CONSERVACAO]	CD_ACAO_CONSERVACAO	True	False	NULL	000000
[dbo].[ACIDENTE_CONDICAO_PNEU]	CD_CONDICAO_PNEU	True	False	NULL	000000
[dbo].[ACIDENTE_CONDICAO_PNEU]	CD_AGENCIA	False	False	NULL	[dbo].[AGENCIA].[CD_AGENCIA]
[dbo].[ACIDENTE_CONDICAO_VISIBILIDADE]	CD_CONDICAO_VISIBILIDADE	True	False	NULL	000000
[dbo].[ACIDENTE_CONDICAO_VISIBILIDADE]	CD_AGENCIA	False	False	NULL	[dbo].[AGENCIA].[CD_AGENCIA]
[dbo].[ACIDENTE_CONDICOES_METEREOLOGICAS]	CD_CONDICOES_METEREOLOGICAS	True	False	NULL	000000
[dbo].[ACIDENTE_CONDICOES_METEREOLOGICAS]	CD_AGENCIA	False	False	NULL	[dbo].[AGENCIA].[CD_AGENCIA]
[dbo].[ACIDENTE_DETALHE_ACAO_ENVOLVIDO]	CD_DETALHE_ACAO_ENVOLVIDO	True	False	NULL	000000
[dbo].[ACIDENTE_DETALHE_ACAO_ENVOLVIDO]	CD_AGENCIA	False	False	NULL	[dbo].[AGENCIA].[CD_AGENCIA]
[dbo].[ACIDENTE_DETALHE_ENVOLVIDO]	CD_DETALHE_ENVOLVIDO	True	False	NULL	000000
[dbo].[ACIDENTE_DETALHE_ENVOLVIDO]	CD_AGENCIA	False	False	NULL	[dbo].[AGENCIA].[CD_AGENCIA]
[dbo].[ACIONAMENTO_ITENS]	CD_ACIONAMENTO_ITENS	True	False	NULL	000000
[dbo].[ACIONAMENTO_ITENS]	CD_AGENCIA	False	False	NULL	[dbo].[AGENCIA].[CD_AGENCIA]
[dbo].[ADJACENCIA_CONSERVACAO]	CD_ADJACENCIA_CONSERVACAO	True	False	NULL	000000
[dbo].[AGENCIA]	CD_AGENCIA	True	False	NULL	[dbo].[AGENCIA].[CD_AGENCIA]
[dbo].[AGENCIA_CAMPOS_CONCESSAO]	CD_AGENCIA	True	False	NULL	[dbo].[AGENCIA].[CD_AGENCIA]
[dbo].[AGENCIA_CAMPOS_CONCESSAO]	CD_CAMPOS_CONCESSAO	True	False	NULL	000000
[dbo].[AGENDAMENTO_MENSAGEM]	CD_AGENDAMENTO_MENSAGEM	True	False	NULL	000000
